Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
3.45	N5	combined	Drop	0	0	0	0
3.5	N0	combined	Drop	0	0	0	0
3.5	N1	combined	Drop	0	0	0	0
3.5	N2	combined	Drop	0	0	0	0
3.5	N3	combined	Drop	0	0	0	0
3.5	N4	combined	Drop	0	0	0	0
3.5	N5	combined	Drop	0	0	0	0
3.55	N0	combined	Drop	0	0	0	0
3.55	N1	combined	Drop	0	0	0	0
3.55	N2	combined	Drop	0	0	0	0
3.55	N3	combined	Drop	0	0	0	0
3.55	N4	combined	Drop	0	0	0	0
3.55	N5	combined	Drop	0	0	0	0
3.6	N0	combined	Drop	0	0	0	0
3.6	N1	combined	Drop	0	0	0	0
3.6	N2	combined	Drop	0	0	0	0
3.6	N3	combined	Drop	0	0	0	0
3.6	N4	combined	Drop	0	0	0	0
3.6	N5	combined	Drop	0	0	0	0
3.65	N0	combined	Drop	0	0	0	0
3.65	N1	combined	Drop	0	0	0	0
3.65	N2	combined	Drop	0	0	0	0
3.65	N3	combined	Drop	0	0	0	0
3.65	N4	combined	Drop	0	0	0	0
3.65	N5	combined	Drop	0	0	0	0
3.7	N0	combined	Drop	0	0	0	0
3.7	N1	combined	Drop	0	0	0	0
3.7	N2	combined	Drop	0	0	0	0
3.7	N3	combined	Drop	0	0	0	0
3.7	N4	combined	Drop	0	0	0	0
3.7	N5	combined	Drop	0	0	0	0
3.75	N0	combined	Drop	0	0	0	0
3.75	N1	combined	Drop	0	0	0	0
3.75	N2	combined	Drop	0	0	0	0
3.75	N3	combined	Drop	0	0	0	0
3.75	N4	combined	Drop	0	0	0	0
3.75	N5	combined	Drop	0	0	0	0
3.8	N0	combined	Drop	0	0	0	0
3.8	N1	combined	Drop	0	0	0	0
3.8	N2	combined	Drop	0	0	0	0
3.8	N3	combined	Drop	0	0	0	0
3.8	N4	combined	Drop	0	0	0	0
3.8	N5	combined	Drop	0	0	0	0
